"NoFilter";"";"";"";"";"";"";"";""
"Unité : Pourcentage";"";"";"";"";"";"";"";""
"Source : Institut National de la Statistique";"";"";"";"";"";"";"";""
"Glissement annuel des indices des prix de l'immobilier par type de bien";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";""
"";"deuxième-trimestre 2022";"troisième-trimestre 2022";"quatrième-trimestre 2022";"première-trimestre 2023";"deuxième-trimestre 2023";"troisième-trimestre 2023";"quatrième-trimestre 2023";"première-trimestre 2024"
"Terrain nus";"6.8";"10.5";"10.6";"8.3";"5.1";"2.0";"7.7";"4.9"
"Appartement";"3.6";"6.9";"15.0";"14.8";"4.2";"2.7";"1.4";"0.1"
"Maisons";"5.3";"8.4";"5.2";"1.9";"5.3";"15.7";"16.3";"15.4"
"Variation annuelle générale";"--";"--";"--";"--";"--";"--";"--";"--"
