"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Institut National de la Statistique";"";"";"";"";"";"";"";"";""
"Population au 1er Juillet par gouvernorat";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Tunisie";"11158628";"11292778";"11418219";"11532078";"11638066";"11726178";"11783723";"11826910";"11868822"
"Gouvernorat de Tunis";"1063180";"1065858";"1068095";"1069579";"1071244";"1073249";"1075015";"1077124";"1079330"
"Gouvernorat de L'Ariana";"595769";"611885";"627141";"641433";"654315";"662694";"667354";"671724";"676072"
"Gouvernorat de Ben Arous";"648979";"663084";"676781";"689954";"701984";"710502";"715490";"719709";"723911"
"Gouvernorat de Manouba";"388200";"395069";"402164";"409416";"415907";"420445";"423111";"425332";"427555"
"Gouvernorat de Nabeul";"804551";"817502";"829962";"841806";"852668";"861260";"866838";"871322";"875992"
"Gouvernorat de Zaghouan";"179804";"181947";"183988";"185897";"187663";"189176";"190127";"190729";"191330"
"Gouvernorat de Bizerte";"575449";"580241";"584594";"588354";"591937";"595240";"597490";"599110";"600697"
"Gouvernorat de Bèja";"304845";"305455";"306005";"306398";"306782";"307507";"308148";"308501";"308813"
"Gouvernorat de Jendouba";"403124";"403316";"403407";"403253";"403344";"404100";"404738";"405010";"405182"
"Gouvernorat du Kef";"245054";"245748";"246149";"246189";"246313";"246820";"247289";"247562";"247844"
"Gouvernorat de Siliana";"224788";"225939";"226665";"226883";"227198";"227992";"228691";"228997";"229211"
"Gouvernorat de Sousse";"690465";"702917";"714694";"725647";"735746";"743278";"747887";"751663";"755379"
"Gouvernorat de Monastir";"560875";"570593";"579908";"588694";"596693";"602659";"606401";"609482";"612509"
"Gouvernorat de Mahdia";"418281";"424380";"429839";"434566";"439059";"443075";"445704";"447383";"448972"
"Gouvernorat de Sfax";"970931";"982251";"992812";"1002358";"1011259";"1018373";"1022900";"1026462";"1029886"
"Gouvernorat de Kairouan";"575733";"580680";"585001";"588493";"591901";"596221";"599560";"601130";"602384"
"Gouvernorat de Kasserine";"444114";"447870";"451338";"454430";"457353";"460820";"463497";"464979";"466484"
"Gouvernorat de Sidi Bouzid";"435905";"440665";"444825";"448273";"451612";"455062";"457537";"459062";"460521"
"Gouvernorat de Gabès";"380630";"385724";"390569";"395091";"399264";"402691";"404829";"406284";"407699"
"Gouvernorat de Medenine";"488012";"494741";"501056";"506822";"512164";"516385";"519074";"521181";"523191"
"Gouvernorat de Tataouine";"149860";"150065";"150312";"150508";"150770";"151323";"151750";"151950";"152106"
"Gouvernorat de Gafsa";"341019";"344075";"346715";"348799";"350826";"352809";"354169";"354972";"355544"
"Gouvernorat de Tozeur";"109593";"110930";"112162";"113254";"114275";"115119";"115675";"116098";"116484"
"Gouvernorat de Kébili";"159473";"161849";"164038";"165981";"167790";"169378";"170450";"171140";"171725"
