id,titre,description,prix,surface,type_immeuble,type_immeuble_code,type_transaction,type_vendeur,location_id,thumbnail_url,image_urls,images_detailed,sources,contacts,nb_sources,nb_sources_with_urls,nb_contacts,nb_contacts_actifs,nb_ads_total,nb_ads_actifs,flags,first_seen_at,created_at,modified_at,price_dropped_at,page,scraped_at
1076599,Immeuble irisréf:  à hammamet nord,"Immeuble IRIS(Réf: L3256)
 Location Appartement à Hammamet Nord
À louer chez TPS Immobilière, un immeuble situé dans la zone de Hammamet Nord, plus précisément du côté de la plage Omar Khayem. L’emplacement est exceptionnel, très proche de la mer, dans un quartier vivant, dynamique et très recherché, apprécié aussi bien par les habitants que par les visiteurs.
L’immeuble est édifié sur un terrain de 750 m² et s’étend sur plusieurs niveaux. Il comprend une cave spacieuse de 300 m², parfaitement adaptée pour le stockage ou toute autre activité professionnelle.
Le rez-de-chaussée est actuellement aménagé pour un usage commercial, avec une grande surface offrant une excellente visibilité sur un axe fréquenté. Il peut aussi être utilisé comme dépôt ou entrepôt, selon les besoins de l’activité.
Au premier étage, la partie résidentielle se compose de trois appartements indépendants : un S+1, un S+2 et un S+3. Chaque unité est bien agencée et offre tout le confort nécessaire, ce qui en fait une solution idéale pour une location annuelle, que ce soit à des particuliers ou à des entreprises.
Ce bien constitue une opportunité rare pour une exploitation locative à long terme, grâce à sa localisation stratégique, sa proximité immédiate de la plage et son potentiel multifonction (résidentiel et commercial).Pour plus d'informations, veuillez SVP contacter Mme Emna aux : <a type=""phone"">+21628XXXXXX</a> / <a type=""phone"">+21652XXXXXX</a>.",8000.0,750.0,Immeuble résidentiel,residentialBuilding,rental,agency,5182.0,https://www.tunisiapromo.com/images/152837.jpg,"[""https://www.tunisiapromo.com/images/152837.jpg""]","[{""url"": ""https://www.tunisiapromo.com/images/152837.jpg"", ""sourceId"": 4, ""adUrl"": ""https://www.tunisiapromo.com/annonce/immeuble-irisref-a-hammamet-nord-z152837.html""}]","[{""sourceId"": 4, ""url"": ""https://www.tunisiapromo.com/annonce/immeuble-irisref-a-hammamet-nord-z152837.html"", ""price"": 8000, ""sellerType"": ""agency"", ""lastModified"": ""2025-07-24 22:00:16""}]","[{""sellerType"": ""agency"", ""contactName"": ""TPS"", ""active"": true}]",1,1,1,1,1,1,[],2025-07-24 22:00:18,2025-07-24 22:00:16,2025-07-24 22:00:16,2025-07-24 22:00:16,1,2026-02-12 12:52:08
884684,Immeuble neuf lac 1384 trois niveaux et ss,"L’Agence Immobilière Nour Ennasr met en location aux berges du lac de Tunis un immeuble neuf surface 1384 M2 sur trois niveaux avec parking sous sol pour 30 voitures , 3 toilettes et kitchenette par étage , clim centrale C/F câblage réseaux et informatique , loge gardien et ascenseur jusqu'au sous sol .
Le local est clôturé indépendant bâti sur un terrain de 1500 M2 environ avec cour au rdc pour écoles ou autres .

Loyer mensuel Net : 14 500 Dinars /

Pour visite et information contacter : L'agence Immobilière Nour Ennasr 
La première agence spécialisée en immobilier industriel en Tunisie 
Avenue Hédi Nouira Résidence Assafa Cité Ennasr 1
Tél  :  <a type=""phone"">+21670XXXXXX</a>  / <a type=""phone"">+21620XXXXXX</a> / <a type=""phone"">+21654XXXXXX</a>
Immobiliere-nour-ennasr   com
Email : agence.nour.ennasr@gmail.com
Page facebook : agence immobilière nour ennasr 5
Viber : agence immobilière nour ennasr Tél : <a type=""phone"">+21620XXXXXX</a> 
Twitter : AG NOUR ENNASR",14500.0,1500.0,Immeuble résidentiel,residentialBuilding,rental,agency,4942.0,https://www.tunisiapromo.com/images/66759.jpg,"[""https://www.tunisiapromo.com/images/66759.jpg""]","[{""url"": ""https://www.tunisiapromo.com/images/66759.jpg"", ""sourceId"": 4, ""adUrl"": ""https://www.tunisiapromo.com/annonce/immeuble-neuf-lac-1384-trois-niveaux-et-ss-z66759.html""}]","[{""sourceId"": 4, ""url"": ""https://www.tunisiapromo.com/annonce/immeuble-neuf-lac-1384-trois-niveaux-et-ss-z66759.html"", ""price"": 14500, ""sellerType"": ""agency"", ""lastModified"": ""2017-09-28 19:42:41""}]","[{""sellerType"": ""agency"", ""contactName"": ""AGENCE"", ""active"": true}]",1,1,1,1,1,1,[],2024-12-26 19:42:45,2017-09-28 19:42:41,2017-09-28 19:42:41,2017-09-28 19:42:41,1,2026-02-12 12:52:17
888738,Foyer pour les étudiantes,"immeuble meublé neuf à sousse sur la route principale à coté de ISET conçu pour les étudiantes.
location par chambre ou lit.
loyer de 80-140 Dt/mois. 
Lieu très sécurisé.
station bus et louage en face de l'immeuble. 
entourage riche en magasins,épiciers,etc... 

Pour information contacter le <a type=""phone"">+21623XXXXXX</a> 
septchokri@yahoo.fr",80140.0,80.0,Immeuble résidentiel,residentialBuilding,rental,private,245.0,,[],,"[{""sourceId"": 4, ""url"": ""https://www.tunisiapromo.com/annonce/foyer-pour-les-etudiantes-z55634.html"", ""price"": 80140, ""sellerType"": ""private"", ""lastModified"": ""2016-09-11 20:27:33""}]","[{""sellerType"": ""private"", ""contactName"": ""shil"", ""active"": true}]",1,1,1,1,1,1,"[""balcony"", ""equippedKitchen""]",2024-12-26 20:27:44,2016-09-11 20:27:33,2016-09-11 20:27:33,2016-09-11 20:27:33,1,2026-02-12 12:52:25
903953,A louer un r+3 situe a ben arous,"Emplacement stratégique au cœur de la ville de Ben Arous, un bel immeuble R+3 qui peut accueillir tout genre d’activité tertiaire,
Saisissez cette occasion en or car notre société vous offre la possibilité de l’aménager suivant vos besoins et conformément à votre demande,",,1761.0,Immeuble résidentiel,residentialBuilding,rental,private,804.0,https://www.tunisiapromo.com/gallery/photo-1-22792.jpg,"[""https://www.tunisiapromo.com/gallery/photo-1-22792.jpg""]","[{""url"": ""https://www.tunisiapromo.com/gallery/photo-1-22792.jpg"", ""sourceId"": 4, ""adUrl"": ""https://www.tunisiapromo.com/annonce/a-louer-un-r-3-situe-a-ben-arous-z7636.html""}]","[{""sourceId"": 4, ""url"": ""https://www.tunisiapromo.com/annonce/a-louer-un-r-3-situe-a-ben-arous-z7636.html"", ""price"": null, ""sellerType"": ""private"", ""lastModified"": ""2012-05-31 00:59:36""}]","[{""sellerType"": ""private"", ""contactName"": ""NAHLA"", ""active"": true}]",1,1,1,1,1,1,[],2024-12-27 00:59:41,2012-05-31 00:59:36,2012-05-31 00:59:36,2012-05-31 00:59:36,1,2026-02-12 12:52:35
1213181,Immeuble neuf à louer bureaux en S2&S3,"Immeuble neuf à usage professionnel situé au centre-ville de Gabès, dans un emplacement stratégique à proximité du Gouvernorat, du CNAM, de la Municipalité et de la Direction Régionale de l’Équipement. L’immeuble est conçu pour accueillir des sociétés, cabinets et activités administratives recherchant un environnement de travail moderne et bien positionné.

Des bureaux S2 et S3 sont disponibles, offrant des espaces fonctionnels, lumineux et adaptés à différents types d’activités professionnelles. Les finitions sont de haut standing avec une conception moderne et soignée. Chaque unité bénéficie d’un bon éclairage naturel et d’un aménagement permettant une installation rapide.

Cet immeuble convient parfaitement pour des bureaux d’études, sociétés de services, agences, ou toute activité nécessitant une localisation centrale et accessible. L’environnement immédiat est calme, professionnel et proche de toutes les administrations importantes.

Visites possibles sur rendez-vous.",650.0,150.0,Immeuble de bureaux,officeBuilding,rental,private,1410.0,https://www.mubawab-media.com/ad/8/269/925F/h/bd68c3ca-4f25-4fab-9710-0251bfa1e253_81607942.avif,"[""https://www.mubawab-media.com/ad/8/269/925F/h/bd68c3ca-4f25-4fab-9710-0251bfa1e253_81607942.avif"", ""https://www.mubawab-media.com/ad/8/269/925F/h/a0faac58-01b6-4880-bc12-cd292c99bfff_81607943.avif"", ""https://www.mubawab-media.com/ad/8/269/925F/h/4e315f9f-c022-4215-a9ea-c7903dcb2f21_81607944.avif"", ""https://www.mubawab-media.com/ad/8/269/925F/h/a4d0d693-e902-49d8-996d-6acc2989e8b7_81607945.avif""]","[{""url"": ""https://www.mubawab-media.com/ad/8/269/925F/h/bd68c3ca-4f25-4fab-9710-0251bfa1e253_81607942.avif"", ""sourceId"": 5, ""adUrl"": ""https://www.mubawab.tn/fr/a/8269925/immeuble-neuf-%C3%A0-louer-bureaux-en-s2-s3""}, {""url"": ""https://www.mubawab-media.com/ad/8/269/925F/h/a0faac58-01b6-4880-bc12-cd292c99bfff_81607943.avif"", ""sourceId"": 5, ""adUrl"": ""https://www.mubawab.tn/fr/a/8269925/immeuble-neuf-%C3%A0-louer-bureaux-en-s2-s3""}, {""url"": ""https://www.mubawab-media.com/ad/8/269/925F/h/4e315f9f-c022-4215-a9ea-c7903dcb2f21_81607944.avif"", ""sourceId"": 5, ""adUrl"": ""https://www.mubawab.tn/fr/a/8269925/immeuble-neuf-%C3%A0-louer-bureaux-en-s2-s3""}, {""url"": ""https://www.mubawab-media.com/ad/8/269/925F/h/a4d0d693-e902-49d8-996d-6acc2989e8b7_81607945.avif"", ""sourceId"": 5, ""adUrl"": ""https://www.mubawab.tn/fr/a/8269925/immeuble-neuf-%C3%A0-louer-bureaux-en-s2-s3""}]","[{""sourceId"": 5, ""url"": ""https://www.mubawab.tn/fr/a/8269925/immeuble-neuf-%C3%A0-louer-bureaux-en-s2-s3"", ""price"": 650, ""sellerType"": ""private"", ""lastModified"": ""2026-02-12 12:45:53""}]","[{""sellerType"": ""private"", ""contactName"": ""amer Particulier"", ""active"": true}]",1,1,1,1,1,1,[],2025-12-11 12:00:59,2025-12-11 12:00:48,2026-02-12 12:45:53,2025-12-11 12:00:48,1,2026-02-12 12:53:01
1076158,A louer immeuble a usage bureautique à Mohamed 5,,8500.0,638.0,Immeuble de bureaux,officeBuilding,rental,agency,5201.0,https://www.mubawab-media.com/ad/8/187/272F/h/4872b901-089a-4af2-823f-f985d710f224_b8adccd6-c11b-48bc-ad44-bc041c5b260e_80736519.avif,[],,"[{""sourceId"": 5, ""url"": ""https://www.mubawab.tn/fr/a/8187272/a-louer-immeuble-a-usage-bureautique-%C3%A0-mohamed-5"", ""price"": 8500, ""sellerType"": ""agency"", ""lastModified"": ""2026-02-12 12:45:30""}]",[],1,1,0,1,1,1,[],2025-07-24 11:00:22,2025-07-24 11:00:17,2026-02-12 12:45:30,2025-07-24 11:00:17,1,2026-02-12 12:53:18
1181504,À louer immeuble r2 en 30 pièces à la Charguia 2,,33500.0,565.0,Immeuble de bureaux,officeBuilding,rental,agency,348.0,https://www.mubawab-media.com/ad/8/243/899F/h/1_81321708.avif,[],,"[{""sourceId"": 5, ""url"": ""https://www.mubawab.tn/fr/a/8243899/%C3%A0-louer-immeuble-r2-en-30-pi%C3%A8ces-%C3%A0-la-charguia-2"", ""price"": 33500, ""sellerType"": ""agency"", ""lastModified"": ""2026-02-12 12:19:11""}, {""sourceId"": 2, ""url"": ""https://www.tayara.tn/item/69034054d0d95991e108268e/?v=2"", ""price"": 33500, ""sellerType"": ""agency"", ""lastModified"": ""2025-10-30 11:39:24""}]",[],2,2,0,1,2,2,[],2025-10-30 11:00:44,2025-10-30 11:00:36,2026-02-12 12:19:11,2025-10-30 11:00:36,1,2026-02-12 12:53:37
1222525,Immeuble bureautique,"DS Reality met à votre disposition à la location un immeuble en état brut, idéalement situé à Ain Zaghouen Sud, sur la route principale.

- Caractéristiques :

Immeuble sur 3 niveaux

Superficie : 95 m² par étage

État brut, offrant une grande liberté d’aménagement

Emplacement stratégique, forte visibilité, adapté à usage commercial, administratif ou professionnel

Loyer : 10 000 DT / mois (hors taxes)

Pour plus d’informations ou pour organiser une visite, n’hésitez pas à contacter DS Reality.",10000.0,95.0,Immeuble de bureaux,officeBuilding,rental,agency,5189.0,https://www.mubawab-media.com/ad/8/276/578F/h/immeuble%20bureuttique_81678669.avif,"[""https://www.mubawab-media.com/ad/8/276/578F/h/immeuble%20bureuttique_81678669.avif""]","[{""url"": ""https://www.mubawab-media.com/ad/8/276/578F/h/immeuble%20bureuttique_81678669.avif"", ""sourceId"": 5, ""adUrl"": ""https://www.mubawab.tn/fr/a/8276578/immeuble-bureautique""}]","[{""sourceId"": 5, ""url"": ""https://www.mubawab.tn/fr/a/8276578/immeuble-bureautique"", ""price"": 10000, ""sellerType"": ""agency"", ""lastModified"": ""2026-02-12 11:48:18""}]","[{""sellerType"": ""agency"", ""contactName"": ""DS REALITY"", ""active"": true}]",1,1,1,1,1,1,[],2025-12-25 11:15:40,2025-12-25 11:15:17,2026-02-12 11:48:18,2025-12-25 11:15:17,1,2026-02-12 12:53:48
1249210,À LOUER – IMMEUBLE NEUF R+3 À EL MENZAH 8  📍 Emplacement s,"🔵 À LOUER – IMMEUBLE NEUF R+3 À EL MENZAH 8
📍 Emplacement stratégique – Quartier résidentiel et facilement accessible

L’Agence Mon Réseau Immobilier vous propose à la location un immeuble neuf sur 4 niveaux, idéal pour :

✔️ Siège de société
✔️ Centre de formation
✔️ Établissement scolaire
✔️ Bureaux administratifs
✔️ Centre médical ou paramédical

🔹 Superficie totale : 580 m²
🔹 Construction récente
🔹 24 pièces
🔹 8 salles de bains
🔹 Espaces lumineux et bien répartis
🔹 Cour extérieure et accès indépendant
🔹 place de parking pour 6 voitures a l'intérieur 
Bien offrant un fort potentiel d’exploitation professionnelle dans l’un des quartiers les plus recherchés d’El Menzah.

💰 Loyer : 6 500 DT / mois HTVA 

📞 Contactez Mon Réseau Immobilier pour plus d’informations ou pour organiser une visite.

☎️Téléphone : + 216 <a type=""phone"">+21698XXXXXX</a>/ <a type=""phone"">+21653XXXXXX</a>

📭WhatsApp : ⁨⁨ <a type=""phone"">+21698XXXXXX</a> 

📧E-mail : monreseau.immo@outlook.com",6500.0,580.0,Immeuble de bureaux,officeBuilding,rental,agency,311.0,56180/28090479_7d86f670282e8b8b.jpg,"[""https://www.affare.tn/image/02_2026_832c4fa5.JPG""]","[{""url"": ""https://www.affare.tn/image/02_2026_832c4fa5.JPG"", ""sourceId"": 6, ""adUrl"": ""https://www.affare.tn/annonce/a-louer-–-immeuble-neuf-r-3-a-el-menzah-8-📍-emplacement-s-258053""}]","[{""sourceId"": 6, ""url"": ""https://www.affare.tn/annonce/a-louer-–-immeuble-neuf-r-3-a-el-menzah-8-📍-emplacement-s-258053"", ""price"": 6500, ""sellerType"": ""agency"", ""lastModified"": ""2026-02-12 11:21:18""}, {""sourceId"": 1, ""url"": ""http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=3450357"", ""price"": 6500, ""sellerType"": ""agency"", ""lastModified"": ""2026-02-12 00:00:00""}]","[{""sellerType"": ""agency"", ""contactName"": ""Mon réseau Immobilie"", ""active"": true}]",2,2,1,1,2,2,[],2026-02-12 12:30:05,2026-02-12 00:00:00,2026-02-12 11:21:18,2026-02-12 00:00:00,1,2026-02-12 12:53:58
863552,Immeuble à louer aux berges du lac 1,"NEWKEY LAC 2 offre à la location un immeuble indépendant entier, idéalement situé aux Berges du Lac 1.

Avec une superficie totale de 5400m², l'immeuble se compose de trois blocs sur 4 étages chacun.

.  Référence du bien: Ref7348a",,5400.0,Immeuble de bureaux,officeBuilding,rental,agency,4942.0,https://www.mubawab-media.com/ad/8/051/176F/h/thumb_962909_property_xlarge_79370026.avif,"[""https://www.mubawab-media.com/ad/8/051/176F/h/thumb_962909_property_xlarge_79370026.avif"", ""https://www.mubawab-media.com/ad/8/051/176F/h/thumb_962907_property_xlarge_79370027.avif"", ""https://www.mubawab-media.com/ad/8/051/176F/h/thumb_962910_property_xlarge_79370028.avif"", ""https://www.mubawab-media.com/ad/8/051/176F/h/thumb_962908_property_xlarge_79370029.avif"", ""https://www.mubawab-media.com/ad/8/051/176F/h/thumb_962911_property_xlarge_79370030.avif""]","[{""url"": ""https://www.mubawab-media.com/ad/8/051/176F/h/thumb_962909_property_xlarge_79370026.avif"", ""sourceId"": 5, ""adUrl"": ""https://www.mubawab.tn/fr/a/8051176/immeuble-%C3%A0-louer-aux-berges-du-lac-1""}, {""url"": ""https://www.mubawab-media.com/ad/8/051/176F/h/thumb_962907_property_xlarge_79370027.avif"", ""sourceId"": 5, ""adUrl"": ""https://www.mubawab.tn/fr/a/8051176/immeuble-%C3%A0-louer-aux-berges-du-lac-1""}, {""url"": ""https://www.mubawab-media.com/ad/8/051/176F/h/thumb_962910_property_xlarge_79370028.avif"", ""sourceId"": 5, ""adUrl"": ""https://www.mubawab.tn/fr/a/8051176/immeuble-%C3%A0-louer-aux-berges-du-lac-1""}, {""url"": ""https://www.mubawab-media.com/ad/8/051/176F/h/thumb_962908_property_xlarge_79370029.avif"", ""sourceId"": 5, ""adUrl"": ""https://www.mubawab.tn/fr/a/8051176/immeuble-%C3%A0-louer-aux-berges-du-lac-1""}, {""url"": ""https://www.mubawab-media.com/ad/8/051/176F/h/thumb_962911_property_xlarge_79370030.avif"", ""sourceId"": 5, ""adUrl"": ""https://www.mubawab.tn/fr/a/8051176/immeuble-%C3%A0-louer-aux-berges-du-lac-1""}]","[{""sourceId"": 5, ""url"": null, ""price"": null, ""sellerType"": ""agency"", ""lastModified"": ""2026-02-12 09:00:21""}]","[{""sellerType"": ""agency"", ""contactName"": ""NewKey les berges du lac 2"", ""active"": true}]",1,0,1,1,1,1,[],2024-12-06 05:30:23,2024-12-06 05:30:23,2026-02-12 09:00:21,2024-12-06 05:30:23,1,2026-02-12 12:54:18
