id,titre,description,prix,surface_habitable,surface_terrain,contacts,location,url_maps,gps_type,image_urls,sources,scraped_at
146732,Un  Appartement  S+1 à La Location Annuelle,"Un  Appartement  S+1 à La Location Annuelle
Marina Houmt Souk Djerba, Djerba-Houmt Souk, Médenine",800,,,27502372,"Marina Houmt Souk Djerba, Djerba-Houmt Souk, Médenine",https://www.google.com/maps/search/?api=1&query=Marina%20Houmt%20Souk%20Djerba%2C%20Djerba-Houmt%20Souk%2C%20M%C3%A9denine,❓ VILLE,https://www.menzili.tn/upload/photos/2025/09/11/18/18/95b6q9dg91.jpg | https://www.menzili.tn/upload/vignettes/2025/09/11/18/18/9897202ds4.jpg | https://www.menzili.tn/upload/pub/lomi-menzili.jpg | https://www.menzili.tn/upload/vignettes/2025/09/11/18/18/95b6q9dg91.jpg | https://b.tile.openstreetmap.org/15/17371/13104.png | https://a.tile.openstreetmap.org/15/17371/13103.png | https://b.tile.openstreetmap.org/15/17372/13103.png | https://a.tile.openstreetmap.org/15/17373/13104.png | https://www.menzili.tn/upload/vignettes/2025/09/11/18/18/99p3d6q32v.jpg | https://b.tile.openstreetmap.org/15/17370/13102.png | https://www.menzili.tn/upload/vignettes/2025/09/11/18/18/beqdsite71.jpg | https://www.menzili.tn/upload/photos/2025/09/11/18/18/9d3829gv84.jpg | https://c.tile.openstreetmap.org/15/17371/13102.png | https://c.tile.openstreetmap.org/15/17373/13103.png | https://c.tile.openstreetmap.org/15/17372/13104.png | https://www.menzili.tn/upload/photos/2025/09/11/18/18/9897202ds4.jpg | https://www.menzili.tn/upload/photos/2025/09/11/18/18/beqdsite71.jpg | https://c.tile.openstreetmap.org/15/17370/13103.png | https://www.menzili.tn/upload/vignettes/2025/09/11/18/18/9d3829gv84.jpg | https://www.menzili.tn/upload/photos/2025/09/11/18/18/99p3d6q32v.jpg | https://a.tile.openstreetmap.org/15/17372/13102.png | https://www.menzili.tn/upload/vignettes/2025/09/11/18/18/d9t4s3gz9e.jpg | https://www.menzili.tn/upload/photos/2025/09/11/18/18/d9t4s3gz9e.jpg | https://a.tile.openstreetmap.org/15/17370/13104.png | https://www.facebook.com/tr?id=120245755315500&ev=PageView&noscript=1 | https://b.tile.openstreetmap.org/15/17373/13102.png,Menzili,2026-02-17 00:42:11
146730,Un Appartement  RDC S+1 à La Location Annuelle,"Un Appartement  RDC S+1 à La Location Annuelle
Marina Houmt Souk Djerba, Djerba-Houmt Souk, Médenine",800,,,27502372,"Marina Houmt Souk Djerba, Djerba-Houmt Souk, Médenine",https://www.google.com/maps/search/?api=1&query=Marina%20Houmt%20Souk%20Djerba%2C%20Djerba-Houmt%20Souk%2C%20M%C3%A9denine,❓ VILLE,https://www.menzili.tn/upload/photos/2025/09/11/17/47/93tq798167.jpg | https://www.menzili.tn/upload/photos/2025/09/11/17/47/2yi3q6s826.jpg | https://www.menzili.tn/upload/vignettes/2025/09/11/17/17/h9432t9sz6.jpg | https://www.menzili.tn/upload/photos/2025/09/11/17/17/id6rnd6mv2.jpg | https://www.menzili.tn/upload/pub/lomi-menzili.jpg | https://www.menzili.tn/upload/photos/2025/09/11/17/47/yt44q4d572.jpg | https://b.tile.openstreetmap.org/15/17371/13104.png | https://a.tile.openstreetmap.org/15/17371/13103.png | https://b.tile.openstreetmap.org/15/17372/13103.png | https://a.tile.openstreetmap.org/15/17373/13104.png | https://b.tile.openstreetmap.org/15/17370/13102.png | https://www.menzili.tn/upload/photos/2025/09/11/17/17/h9432t9sz6.jpg | https://c.tile.openstreetmap.org/15/17371/13102.png | https://www.menzili.tn/upload/vignettes/2025/09/11/17/47/2yi3q6s826.jpg | https://www.menzili.tn/upload/vignettes/2025/09/11/17/47/997mq3qg72.jpg | https://c.tile.openstreetmap.org/15/17373/13103.png | https://c.tile.openstreetmap.org/15/17372/13104.png | https://www.menzili.tn/upload/vignettes/2025/09/11/17/47/322rz44d36.jpg | https://c.tile.openstreetmap.org/15/17370/13103.png | https://a.tile.openstreetmap.org/15/17372/13102.png | https://www.menzili.tn/upload/vignettes/2025/09/11/17/47/yt44q4d572.jpg | https://www.menzili.tn/upload/photos/2025/09/11/17/47/997mq3qg72.jpg | https://www.menzili.tn/upload/photos/2025/09/11/17/47/322rz44d36.jpg | https://a.tile.openstreetmap.org/15/17370/13104.png | https://www.facebook.com/tr?id=120245755315500&ev=PageView&noscript=1 | https://www.menzili.tn/upload/vignettes/2025/09/11/17/47/93tq798167.jpg | https://www.menzili.tn/upload/vignettes/2025/09/11/17/17/id6rnd6mv2.jpg | https://b.tile.openstreetmap.org/15/17373/13102.png,Menzili,2026-02-17 00:42:15
132948,Location de vacance d'un Studio S+2 à Djerba,"Location de vacance d'un Studio S+2 à Djerba
Zone touristique, Djerba-Houmt Souk, Médenine",210,,,27502372,"Zone touristique, Djerba-Houmt Souk, Médenine",https://www.google.com/maps/search/?api=1&query=Zone%20touristique%2C%20Djerba-Houmt%20Souk%2C%20M%C3%A9denine,❓ VILLE,https://a.tile.openstreetmap.org/15/17372/13102.png | https://www.menzili.tn/template/images/no_photo3.png | https://b.tile.openstreetmap.org/15/17371/13104.png | https://a.tile.openstreetmap.org/15/17371/13103.png | https://b.tile.openstreetmap.org/15/17372/13103.png | https://c.tile.openstreetmap.org/15/17372/13104.png | https://c.tile.openstreetmap.org/15/17373/13103.png | https://a.tile.openstreetmap.org/15/17373/13104.png | https://c.tile.openstreetmap.org/15/17370/13103.png | https://a.tile.openstreetmap.org/15/17370/13104.png | https://www.facebook.com/tr?id=120245755315500&ev=PageView&noscript=1 | https://www.menzili.tn/upload/pub/lomi-menzili.jpg | https://b.tile.openstreetmap.org/15/17370/13102.png | https://b.tile.openstreetmap.org/15/17373/13102.png | https://c.tile.openstreetmap.org/15/17371/13102.png,Menzili,2026-02-17 00:42:20
132981,Location de vacance d'un Studio S+2 à Riadh-Djerba,"Location de vacance d'un Studio S+2 à Riadh-Djerba
Djerba, Djerba-Houmt Souk, Médenine",175,,,27502372,"Djerba, Djerba-Houmt Souk, Médenine",https://www.google.com/maps/search/?api=1&query=Djerba%2C%20Djerba-Houmt%20Souk%2C%20M%C3%A9denine,❓ VILLE,https://www.menzili.tn/upload/photos/2024/07/17/17/38/yjf70979e7.jpg | https://www.menzili.tn/upload/vignettes/2024/07/17/17/29/26r46p001e.jpg | https://www.menzili.tn/upload/vignettes/2024/07/17/17/30/a936nd69q3.jpg | https://www.menzili.tn/upload/vignettes/2024/07/17/17/29/jb2hef0ds9.jpg | https://www.menzili.tn/upload/pub/lomi-menzili.jpg | https://www.menzili.tn/upload/photos/2024/07/17/17/29/31s0d9g6e7.jpg | https://b.tile.openstreetmap.org/15/17371/13104.png | https://www.menzili.tn/upload/vignettes/2024/07/17/17/29/31s0d9g6e7.jpg | https://a.tile.openstreetmap.org/15/17371/13103.png | https://b.tile.openstreetmap.org/15/17372/13103.png | https://www.menzili.tn/upload/photos/2024/07/17/17/29/mtzq394d6z.jpg | https://www.menzili.tn/upload/photos/2024/07/17/17/29/26r46p001e.jpg | https://a.tile.openstreetmap.org/15/17373/13104.png | https://www.menzili.tn/upload/photos/2024/07/17/17/30/a936nd69q3.jpg | https://b.tile.openstreetmap.org/15/17370/13102.png | https://c.tile.openstreetmap.org/15/17371/13102.png | https://c.tile.openstreetmap.org/15/17373/13103.png | https://www.menzili.tn/upload/photos/2024/07/17/17/38/9mt4179g84.jpg | https://www.menzili.tn/upload/vignettes/2024/07/17/17/29/mtzq394d6z.jpg | https://c.tile.openstreetmap.org/15/17372/13104.png | https://www.menzili.tn/upload/photos/2024/07/17/17/29/jb2hef0ds9.jpg | https://c.tile.openstreetmap.org/15/17370/13103.png | https://www.menzili.tn/upload/vignettes/2024/07/17/17/38/9mt4179g84.jpg | https://www.menzili.tn/upload/vignettes/2024/07/17/17/38/yjf70979e7.jpg | https://a.tile.openstreetmap.org/15/17372/13102.png | https://a.tile.openstreetmap.org/15/17370/13104.png | https://www.facebook.com/tr?id=120245755315500&ev=PageView&noscript=1 | https://b.tile.openstreetmap.org/15/17373/13102.png,Menzili,2026-02-17 00:42:24
132983,Location de vacance d'un Studio S+2 à Etgae Riadh-Djerba,"Location de vacance d'un Studio S+2 à Etgae Riadh-Djerba
Djerba, Djerba-Houmt Souk, Médenine",140,,,27502372,"Djerba, Djerba-Houmt Souk, Médenine",https://www.google.com/maps/search/?api=1&query=Djerba%2C%20Djerba-Houmt%20Souk%2C%20M%C3%A9denine,❓ VILLE,https://www.menzili.tn/upload/photos/2024/07/17/17/43/72p3si9q9s.jpg | https://www.menzili.tn/upload/photos/2024/07/17/17/43/m8nsd33s2v.jpg | https://www.menzili.tn/upload/pub/lomi-menzili.jpg | https://www.menzili.tn/upload/photos/2024/07/17/17/43/a3623g9i36.jpg | https://www.menzili.tn/upload/vignettes/2024/07/17/17/43/1ez7nd9qz4.jpg | https://www.menzili.tn/upload/vignettes/2024/07/17/17/43/a3623g9i36.jpg | https://b.tile.openstreetmap.org/15/17371/13104.png | https://a.tile.openstreetmap.org/15/17371/13103.png | https://b.tile.openstreetmap.org/15/17372/13103.png | https://a.tile.openstreetmap.org/15/17373/13104.png | https://b.tile.openstreetmap.org/15/17370/13102.png | https://c.tile.openstreetmap.org/15/17371/13102.png | https://www.menzili.tn/upload/vignettes/2024/07/17/17/43/m8nsd33s2v.jpg | https://c.tile.openstreetmap.org/15/17372/13104.png | https://c.tile.openstreetmap.org/15/17373/13103.png | https://c.tile.openstreetmap.org/15/17370/13103.png | https://www.menzili.tn/upload/vignettes/2024/07/17/17/43/aefnq0i7z1.jpg | https://www.menzili.tn/upload/vignettes/2024/07/17/17/43/72p3si9q9s.jpg | https://www.menzili.tn/upload/photos/2024/07/17/17/43/1ez7nd9qz4.jpg | https://a.tile.openstreetmap.org/15/17372/13102.png | https://www.menzili.tn/upload/photos/2024/07/17/17/43/aefnq0i7z1.jpg | https://www.menzili.tn/upload/vignettes/2024/07/17/17/43/y27vido73v.jpg | https://a.tile.openstreetmap.org/15/17370/13104.png | https://www.menzili.tn/upload/photos/2024/07/17/17/43/y27vido73v.jpg | https://www.facebook.com/tr?id=120245755315500&ev=PageView&noscript=1 | https://b.tile.openstreetmap.org/15/17373/13102.png,Menzili,2026-02-17 00:42:29
132982,Location de vacance d'un Studio S+2 à  Etage Riadh-Djerba,"Location de vacance d'un Studio S+2 à  Etage Riadh-Djerba
Djerba, Djerba-Houmt Souk, Médenine",140,,,27502372,"Djerba, Djerba-Houmt Souk, Médenine",https://www.google.com/maps/search/?api=1&query=Djerba%2C%20Djerba-Houmt%20Souk%2C%20M%C3%A9denine,❓ VILLE,https://www.menzili.tn/upload/photos/2024/07/17/17/41/jb7q6i47v8.jpg | https://www.menzili.tn/upload/photos/2024/07/17/17/41/m4zfd67mzv.jpg | https://www.menzili.tn/upload/photos/2024/07/17/17/41/4pdmqdg847.jpg | https://www.menzili.tn/upload/vignettes/2024/07/17/17/41/4pdmqdg847.jpg | https://www.menzili.tn/upload/vignettes/2024/07/17/17/41/28213d7d1e.jpg | https://www.menzili.tn/upload/pub/lomi-menzili.jpg | https://www.menzili.tn/upload/vignettes/2024/07/17/17/41/jb7q6i47v8.jpg | https://b.tile.openstreetmap.org/15/17373/13102.png | https://b.tile.openstreetmap.org/15/17371/13104.png | https://a.tile.openstreetmap.org/15/17371/13103.png | https://b.tile.openstreetmap.org/15/17372/13103.png | https://a.tile.openstreetmap.org/15/17373/13104.png | https://www.menzili.tn/upload/photos/2024/07/17/17/41/28213d7d1e.jpg | https://b.tile.openstreetmap.org/15/17370/13102.png | https://c.tile.openstreetmap.org/15/17371/13102.png | https://c.tile.openstreetmap.org/15/17373/13103.png | https://c.tile.openstreetmap.org/15/17372/13104.png | https://c.tile.openstreetmap.org/15/17370/13103.png | https://www.menzili.tn/upload/photos/2024/07/17/17/41/1t42d6d64v.jpg | https://www.menzili.tn/upload/photos/2024/07/17/17/41/2rzvd73q5z.jpg | https://a.tile.openstreetmap.org/15/17372/13102.png | https://www.menzili.tn/upload/vignettes/2024/07/17/17/41/2rzvd73q5z.jpg | https://a.tile.openstreetmap.org/15/17370/13104.png | https://www.facebook.com/tr?id=120245755315500&ev=PageView&noscript=1 | https://www.menzili.tn/upload/vignettes/2024/07/17/17/41/1t42d6d64v.jpg | https://www.menzili.tn/upload/vignettes/2024/07/17/17/41/m4zfd67mzv.jpg,Menzili,2026-02-17 00:42:33
132978,Location de vacance d'un Studio S+2 à Riadh-Djerba,"Location de vacance d'un Studio S+2 à Riadh-Djerba
Djerba-Houmt Souk, Médenine",175,,,27502372,"Djerba-Houmt Souk, Médenine",https://www.google.com/maps/search/?api=1&query=Djerba-Houmt%20Souk%2C%20M%C3%A9denine,❓ VILLE,https://a.tile.openstreetmap.org/15/17372/13102.png | https://www.menzili.tn/template/images/no_photo3.png | https://b.tile.openstreetmap.org/15/17371/13104.png | https://a.tile.openstreetmap.org/15/17371/13103.png | https://b.tile.openstreetmap.org/15/17372/13103.png | https://c.tile.openstreetmap.org/15/17372/13104.png | https://c.tile.openstreetmap.org/15/17373/13103.png | https://a.tile.openstreetmap.org/15/17373/13104.png | https://c.tile.openstreetmap.org/15/17370/13103.png | https://a.tile.openstreetmap.org/15/17370/13104.png | https://www.facebook.com/tr?id=120245755315500&ev=PageView&noscript=1 | https://www.menzili.tn/upload/pub/lomi-menzili.jpg | https://b.tile.openstreetmap.org/15/17370/13102.png | https://b.tile.openstreetmap.org/15/17373/13102.png | https://c.tile.openstreetmap.org/15/17371/13102.png,Menzili,2026-02-17 00:42:37
133489,Particulier L S+1 meublé Ennasr2 pour étranger,"Particulier L S+1 meublé Ennasr2 pour étranger
Résidence Riadh Ennasr proche du magasin général, Ennasr, Ariana",1200,75,,50267164,"Résidence Riadh Ennasr proche du magasin général, Ennasr, Ariana",https://www.google.com/maps/search/?api=1&query=R%C3%A9sidence%20Riadh%20Ennasr%20proche%20du%20magasin%20g%C3%A9n%C3%A9ral%2C%20Ennasr%2C%20Ariana,❓ VILLE,https://www.menzili.tn/upload/vignettes/2024/08/10/21/53/2d4p3043e4.jpeg | https://www.menzili.tn/upload/photos/2024/08/10/21/53/12pq3q7s9e.jpeg | https://www.menzili.tn/upload/vignettes/2024/08/10/21/53/20di3d9241.jpg | https://b.tile.openstreetmap.org/15/17306/12770.png | https://www.menzili.tn/upload/pub/lomi-menzili.jpg | https://www.menzili.tn/upload/vignettes/2024/08/10/21/53/57tsd02odi.jpg | https://a.tile.openstreetmap.org/15/17307/12768.png | https://www.menzili.tn/upload/photos/2024/08/10/21/53/2d4p3043e4.jpeg | https://www.menzili.tn/upload/vignettes/2024/08/10/21/53/3s1e9309dv.jpg | https://c.tile.openstreetmap.org/15/17309/12768.png | https://b.tile.openstreetmap.org/15/17308/12768.png | https://b.tile.openstreetmap.org/15/17309/12770.png | https://www.menzili.tn/upload/photos/2024/08/10/21/53/9a5m94q021.jpeg | https://a.tile.openstreetmap.org/15/17309/12769.png | https://www.menzili.tn/upload/vignettes/2025/02/26/04/09/2et6i4g2z4.jpg | https://c.tile.openstreetmap.org/15/17307/12770.png | https://www.menzili.tn/upload/vignettes/2024/08/10/21/53/12pq3q7s9e.jpeg | https://www.menzili.tn/upload/vignettes/2024/08/10/21/53/29rs206294.jpg | https://c.tile.openstreetmap.org/15/17306/12768.png | https://www.menzili.tn/upload/photos/2024/08/10/21/53/y9d4q03d61.jpeg | https://www.menzili.tn/upload/photos/2024/08/10/21/53/57tsd02odi.jpg | https://www.menzili.tn/upload/photos/2025/02/26/04/09/2et6i4g2z4.jpg | https://a.tile.openstreetmap.org/15/17308/12770.png | https://c.tile.openstreetmap.org/15/17308/12769.png | https://www.menzili.tn/upload/vignettes/2024/08/10/21/53/9a5m94q021.jpeg | https://www.menzili.tn/upload/photos/2024/08/10/21/53/9i7sfsqmqz.jpeg | https://www.menzili.tn/upload/vignettes/2024/08/10/21/53/y9d4q03d61.jpeg | https://www.menzili.tn/upload/photos/2024/08/10/21/53/3s1e9309dv.jpg | https://www.menzili.tn/upload/photos/2024/08/10/21/53/20di3d9241.jpg | https://www.menzili.tn/upload/vignettes/2024/08/10/21/53/9i7sfsqmqz.jpeg | https://www.facebook.com/tr?id=120245755315500&ev=PageView&noscript=1 | https://www.menzili.tn/upload/photos/2024/08/10/21/53/29rs206294.jpg | https://a.tile.openstreetmap.org/15/17306/12769.png | https://b.tile.openstreetmap.org/15/17307/12769.png,Menzili,2026-02-17 00:42:44
84028,Appartement S2 très haut standing au lac 2,"Appartement S2 très haut standing au lac 2
Lac 2, La Marsa, Tunis",2800,15,132,51603900 | 99603906,"Lac 2, La Marsa, Tunis",https://www.google.com/maps/search/?api=1&query=Lac%202%2C%20La%20Marsa%2C%20Tunis,❓ VILLE,https://a.tile.openstreetmap.org/15/17325/12768.png | https://c.tile.openstreetmap.org/15/17325/12767.png | https://www.menzili.tn/upload/vignettes/2022/04/12/16/42/shp71imtv9.jpg | https://www.menzili.tn/upload/vignettes/2022/04/12/16/42/d3b1q95681.jpg | https://b.tile.openstreetmap.org/15/17324/12767.png | https://www.menzili.tn/upload/pub/lomi-menzili.jpg | https://www.menzili.tn/upload/photos/2022/04/12/16/42/72s6s7mdv3.jpg | https://www.menzili.tn/upload/photos/2022/04/12/16/42/9m1924f2d1.jpg | https://b.tile.openstreetmap.org/15/17323/12768.png | https://www.menzili.tn/upload/vignettes/2022/04/12/16/42/24ni4g2z92.jpg | https://www.menzili.tn/upload/vignettes/2022/04/12/16/42/9m1924f2d1.jpg | https://a.tile.openstreetmap.org/15/17323/12767.png | https://www.menzili.tn/upload/photos/2022/04/12/16/42/shp71imtv9.jpg | https://www.menzili.tn/upload/photos/2022/04/12/16/42/24ni4g2z92.jpg | https://www.menzili.tn/upload/vignettes/2022/04/12/16/42/72s6s7mdv3.jpg | https://c.tile.openstreetmap.org/15/17322/12767.png | https://www.menzili.tn/upload/photos/2022/04/12/16/42/d3b1q95681.jpg | https://a.tile.openstreetmap.org/15/17322/12768.png | https://c.tile.openstreetmap.org/15/17324/12768.png | https://www.facebook.com/tr?id=120245755315500&ev=PageView&noscript=1,Menzili,2026-02-17 00:42:50
148380,Super appartement S3 meublé au lac 2,"Super appartement S3 meublé au lac 2
lac 2, Les Berges Du Lac, Tunis",3200,25,140,51614130 | 51603900 | 99603906,"lac 2, Les Berges Du Lac, Tunis",https://www.google.com/maps/search/?api=1&query=lac%202%2C%20Les%20Berges%20Du%20Lac%2C%20Tunis,❓ VILLE,https://www.menzili.tn/upload/vignettes/2025/10/30/13/04/2267m99s91.jpg | https://a.tile.openstreetmap.org/15/17315/12772.png | https://www.menzili.tn/upload/vignettes/2025/10/30/13/04/b2si7iv326.jpg | https://www.menzili.tn/upload/photos/2025/10/30/13/04/yid2fq34t8.jpg | https://c.tile.openstreetmap.org/15/17314/12772.png | https://www.menzili.tn/upload/photos/2025/10/30/13/04/39tv0sq2v9.jpg | https://www.menzili.tn/upload/vignettes/2025/10/30/13/04/5d21qmo3s6.jpg | https://www.menzili.tn/upload/pub/lomi-menzili.jpg | https://a.tile.openstreetmap.org/15/17314/12773.png | https://b.tile.openstreetmap.org/15/17315/12773.png | https://a.tile.openstreetmap.org/15/17317/12773.png | https://www.menzili.tn/upload/photos/2025/10/30/13/04/b2si7iv326.jpg | https://www.menzili.tn/upload/photos/2025/10/30/13/04/ad2d7dd91z.jpg | https://www.menzili.tn/upload/vignettes/2025/10/30/13/04/39tv0sq2v9.jpg | https://www.menzili.tn/upload/photos/2025/10/30/13/04/5d21qmo3s6.jpg | https://c.tile.openstreetmap.org/15/17317/12772.png | https://c.tile.openstreetmap.org/15/17316/12773.png | https://www.menzili.tn/upload/vignettes/2025/10/30/13/04/yid2fq34t8.jpg | https://www.menzili.tn/upload/photos/2025/10/30/13/04/2267m99s91.jpg | https://www.facebook.com/tr?id=120245755315500&ev=PageView&noscript=1 | https://www.menzili.tn/upload/vignettes/2025/10/30/13/04/ad2d7dd91z.jpg | https://b.tile.openstreetmap.org/15/17316/12772.png,Menzili,2026-02-17 00:42:56
