property_id,reference,url,title,type,transaction_type,status,price,price_numeric,price_per_m2,currency,location,city,neighbourhood,latitude,longitude,google_maps_url,area_m2,rooms,bedrooms,bathrooms,floor,total_floors,furnished,condition,construction_year,amenities,has_pool,has_lift,has_terrace,has_balcony,has_garden,has_garage,has_parking,has_ac,has_heating,has_sea_view,image_count,image_urls,video_url,agency_name,agency_url,agent_name,phone_numbers,date_posted,date_updated,description,scraped_at
7139934,,https://www.mubawab.tn/fr/a/7139934/a-louer-appartement-vue-sur-mer-la-marsa,A Louer appartement vue sur mer La Marsa,Appartement,Location,,4 500 TND,4500,30.0,TND,La Marsa à La Marsa,La Marsa,La Marsa,36.8941992,10.2762232,"https://www.google.com/maps?q=36.8941992,10.2762232","150
						",4,3,2,1,,,Bon état,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,13,https://www.mubawab-media.com/ad/7/139/934F/h/PHOTO-2021-04-26-15-24-45-7_7904837.avif | https://www.mubawab-media.com/ad/7/139/934F/h/PHOTO-2021-04-26-15-24-45_7904838.avif | https://www.mubawab-media.com/ad/7/139/934F/h/PHOTO-2021-04-26-15-24-45-2_7904839.avif | https://www.mubawab-media.com/ad/7/139/934F/h/PHOTO-2021-04-26-15-24-45-3_7904840.avif | https://www.mubawab-media.com/ad/7/139/934F/h/PHOTO-2021-04-26-15-24-45-4_7904841.avif | https://www.mubawab-media.com/ad/7/139/934F/h/PHOTO-2021-04-26-15-24-45-5_7904842.avif | https://www.mubawab-media.com/ad/7/139/934F/h/PHOTO-2021-04-26-15-24-45-6_7904843.avif | https://www.mubawab-media.com/ad/7/139/934F/h/WhatsApp%20Image%202020-12-05%20at%2012.52.07%20%288%29_7904844.avif | https://www.mubawab-media.com/ad/7/139/934F/h/PHOTO-2021-04-26-15-24-45-1_7904845.avif | https://www.mubawab-media.com/ad/8/270/334F/m/7144d21e-dac1-4047-9898-e8e0bf73e4fb_81790847.avif | https://www.mubawab-media.com/ad/8/302/667F/m/photo_0_81960076.avif | https://www.mubawab-media.com/ad/8/306/315F/m/thumb_1281619_property_xlarge_81996540.avif | https://www.mubawab-media.com/ad/8/250/029F/m/66645f22-7b21-4658-bda2-3f70602d253c_81386218.avif,,,,,,,,"Neptune immo agence immobilière à la marsa vous propose à la location un appartement vue sur mer à la MARSA Vous trouverez un magnifique appartement dans l’un des quartiers les plus sollicité de la MARSA Il s’agit d’un quartier résidentiel et proche de toutes les commodités: commerces, cafés, restos, plage. l'appartement se compose comme suit : - salon /salle à manger avec terrasse vue mer -une cuisine entièrement équipée -une salle d’eau invités -deux chambres à couchers équipées de dressing partageant une salle de bain commune -une suite parentale. En plus, vous profiterez d’un appartement entièrement chauffé et climatisé, L’appartement dispose également d’une place parking au sous-sol",2026-02-20T18:57:22.883606
7184917,,https://www.mubawab.tn/fr/a/7184917/bel-appartement-s3-meubl%C3%A9,Bel appartement s3 meublé,Appartement,,,4 800 TND,4800,24.0,TND,La Marsa à La Marsa,La Marsa,La Marsa,36.88957711847962,10.27482845131226,"https://www.google.com/maps?q=36.88957711847962,10.27482845131226","200
						",8,3,3,,,Meublé,Bon état,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,14,https://www.mubawab-media.com/ad/7/184/917F/h/20210728_184541_11106453.avif | https://www.mubawab-media.com/ad/7/184/917F/h/20210728_184618_11106454.avif | https://www.mubawab-media.com/ad/7/184/917F/h/20210728_184608_11106455.avif | https://www.mubawab-media.com/ad/7/184/917F/h/20210728_184642_11106456.avif | https://www.mubawab-media.com/ad/7/184/917F/h/20210728_184627_11106457.avif | https://www.mubawab-media.com/ad/7/184/917F/h/20210728_184610_11106458.avif | https://www.mubawab-media.com/ad/7/184/917F/h/20210728_184632_11106459.avif | https://www.mubawab-media.com/ad/7/184/917F/h/20210728_184411_11106460.avif | https://www.mubawab-media.com/ad/7/184/917F/h/20210728_184406_11106461.avif | https://www.mubawab-media.com/ad/7/184/917F/h/20210728_184542_11106462.avif | https://www.mubawab-media.com/ad/8/270/334F/m/7144d21e-dac1-4047-9898-e8e0bf73e4fb_81790847.avif | https://www.mubawab-media.com/ad/8/302/667F/m/photo_0_81960076.avif | https://www.mubawab-media.com/ad/8/306/315F/m/thumb_1281619_property_xlarge_81996540.avif | https://www.mubawab-media.com/ad/8/250/029F/m/66645f22-7b21-4658-bda2-3f70602d253c_81386218.avif,,,,,,,,"Nous utilisons nos propres cookies et ceux de tiers à des fins d'analyse et pour vous montrer des publicités personnalisées en fonction d'un profil basé sur vos habitudes de navigation (par exemple, les pages visitées). Cliquez ICI pour plus d'informations",2026-02-20T18:57:23.967477
7208667,,https://www.mubawab.tn/fr/a/7208667/location-gammarth-touristique-s3-meubl%C3%A9-grande-terrasse,Location Gammarth touristique S3 meublé grande terrasse,,Location,,3 850 TND,3850,15.4,TND,Gammarth à La Marsa,La Marsa,Gammarth,36.876389,10.325278,"https://www.google.com/maps?q=36.876389,10.325278","250
						",4,3,3,2,,Meublé,Bon état,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,16,https://www.mubawab-media.com/ad/7/208/667F/h/received_2282690021864388%20-%20Copie_10429268.avif | https://www.mubawab-media.com/ad/7/208/667F/h/karoui01_57110241.avif | https://www.mubawab-media.com/ad/7/208/667F/h/received_289564336259412_10429264.avif | https://www.mubawab-media.com/ad/7/208/667F/h/received_614070509753732_10429265.avif | https://www.mubawab-media.com/ad/7/208/667F/h/received_870112330598179_10429266.avif | https://www.mubawab-media.com/ad/7/208/667F/h/received_1017056532430069_10429267.avif | https://www.mubawab-media.com/ad/7/208/667F/h/received_577516183243583_10429269.avif | https://www.mubawab-media.com/ad/7/208/667F/h/karoui02_57110245.avif | https://www.mubawab-media.com/ad/7/208/667F/h/karoui03_57110246.avif | https://www.mubawab-media.com/ad/7/208/667F/h/asma01_78831818.avif | https://www.mubawab-media.com/ad/7/208/667F/h/asma02_78831819.avif | https://www.mubawab-media.com/ad/7/208/667F/h/asma03_78831820.avif | https://www.mubawab-media.com/ad/8/270/334F/m/7144d21e-dac1-4047-9898-e8e0bf73e4fb_81790847.avif | https://www.mubawab-media.com/ad/8/287/519F/m/5f4bab14-babc-405f-8655-04dbad4a93ac_81984962.avif | https://www.mubawab-media.com/ad/8/302/667F/m/photo_0_81960076.avif | https://www.mubawab-media.com/ad/8/306/678F/m/LWKjk7wrQkd0wtn0-thumb_82000186.avif,,,,,,,,"ennasr homing met en location un magnifique appartement s3 richement meublé de 210m² a Gammarth touristique vue sur mer très haut standing dans une résidence sécurisée gardée 24/ 24 camera de surveillance , eclairage ,domotique ,chauffage centra l ,climatisation centrale ,l'appartement est composé d'un double séjour (salon salle à manger )avec terrasse vue sur mer de 50m² une salle d'eau cuisine équipée avec séchoir le compartiment nuit est composé d'une grande suite parental avec dressing et salle de bain ,puis deux chambres à coucher avec dressing desservies par une salle de bain enfin vous avez deux places parking au sous sol syndic plus internet 200dt/mois",2026-02-20T18:57:26.230225
7222470,,https://www.mubawab.tn/fr/a/7222470/rez-de-chauss%C3%A9e-de-villa-s3-meubl%C3%A9-%C3%A0-la-marsa,Rez de chaussée de villa S3 meublé à la Marsa,Villa,,,3 500 TND,3500,26.9,TND,La Marsa à La Marsa,La Marsa,La Marsa,36.8941992,10.2762232,"https://www.google.com/maps?q=36.8941992,10.2762232","130
						",3,3,2,,,Meublé,Bon état,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,17,https://www.mubawab-media.com/ad/7/222/470F/h/thumb_242635_property_xlarge_55315452.avif | https://www.mubawab-media.com/ad/7/222/470F/h/thumb_242636_property_xlarge_55315453.avif | https://www.mubawab-media.com/ad/7/222/470F/h/thumb_242637_property_xlarge_55315455.avif | https://www.mubawab-media.com/ad/7/222/470F/h/thumb_242638_property_xlarge_55315457.avif | https://www.mubawab-media.com/ad/7/222/470F/h/thumb_242645_property_xlarge_55315460.avif | https://www.mubawab-media.com/ad/7/222/470F/h/thumb_242644_property_xlarge_55315463.avif | https://www.mubawab-media.com/ad/7/222/470F/h/thumb_242643_property_xlarge_55315466.avif | https://www.mubawab-media.com/ad/7/222/470F/h/thumb_242639_property_xlarge_55315469.avif | https://www.mubawab-media.com/ad/7/222/470F/h/thumb_242642_property_xlarge_55315472.avif | https://www.mubawab-media.com/ad/7/222/470F/h/thumb_242641_property_xlarge_55315475.avif | https://www.mubawab-media.com/ad/7/222/470F/h/thumb_242640_property_xlarge_55315478.avif | https://www.mubawab-media.com/ad/7/222/470F/h/thumb_242646_property_xlarge_55315481.avif | https://www.mubawab-media.com/ad/7/222/470F/h/thumb_242647_property_xlarge_55315484.avif | https://www.mubawab-media.com/ad/8/287/519F/m/5f4bab14-babc-405f-8655-04dbad4a93ac_81984962.avif | https://www.mubawab-media.com/ad/8/306/678F/m/LWKjk7wrQkd0wtn0-thumb_82000186.avif | https://www.mubawab-media.com/ad/8/294/337F/m/thumb_20995_property_large_81867795.avif | https://www.mubawab-media.com/ad/8/231/085F/m/5a4b286e-6a9d-4534-96bf-469bde4a670a_81192750.avif,,,,,,,,"Luxury House met à la location un coquet rez-de-chaussée de villa S3 richement meublé, possède une belle terrasse aménagée, situé dans un quartier résidentiel et proche de toutes commodités à la Marsa. L'espace de vie se compose d'un salon lumineux, un coin lectures, une salle à manger et une cuisine ouverte parfaitement équipée. La partie nuit se compose d'une suite parentale avec dressing-room et une salle de bain, un bureau et une chambre à coucher et une salle de douche commune. A l'extérieur on trouve une très belle terrasse et un coin BRQ. Un abri pour une voiture est disponible. Référence du bien: Ref684a",2026-02-20T18:57:28.157406
7234799,,https://www.mubawab.tn/fr/a/7234799/coquet-s2-meubl%C3%A9-avec-jardin,Coquet S2 Meublé avec jardin,,,,2 800 TND,2800,23.3,TND,La Marsa à La Marsa,La Marsa,La Marsa,36.8941992,10.2762232,"https://www.google.com/maps?q=36.8941992,10.2762232","120
						",4,3,,,,Meublé,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,12,https://www.mubawab-media.com/ad/7/234/799F/h/thumb_246758_property_big_34172818.avif | https://www.mubawab-media.com/ad/7/234/799F/h/thumb_246757_property_big_34172820.avif | https://www.mubawab-media.com/ad/7/234/799F/h/thumb_246759_property_big_34172822.avif | https://www.mubawab-media.com/ad/7/234/799F/h/thumb_246761_property_big_34172823.avif | https://www.mubawab-media.com/ad/7/234/799F/h/thumb_246760_property_big_34172825.avif | https://www.mubawab-media.com/ad/7/234/799F/h/thumb_246766_property_big_34172827.avif | https://www.mubawab-media.com/ad/7/234/799F/h/thumb_246762_property_big_34172830.avif | https://www.mubawab-media.com/ad/7/234/799F/h/thumb_246765_property_big_34172832.avif | https://www.mubawab-media.com/ad/8/303/107F/m/1_81964427.avif | https://www.mubawab-media.com/ad/8/231/085F/m/5a4b286e-6a9d-4534-96bf-469bde4a670a_81192750.avif | https://www.mubawab-media.com/ad/8/283/993F/m/IMG_0834_81759751.avif | https://www.mubawab-media.com/ad/8/172/487F/m/53a3ae25-0120-45b3-8030-4ebf568569e0_80586708.avif,,,,,,,,"Newkey la Marsa vous propose à la location un magnifique appartement s2 richement meublé avec jardin situé dans un quartier chic et bien securisé. Ce dernier est composé d'un salon lumineux qui donne sur un grand jardin gazoné, une kitchinette bien equipée, deux chambres a coucher et une salle de bain commune. l'espace est chauffé et climatisé. Un garage pour une voiture est disponible. Référence du bien: Ref2181a",2026-02-20T18:57:30.335722
7345779,0003,https://www.mubawab.tn/fr/a/7345779/location-appartement-neuf-avec-jardin-a-la-marsa,Location appartement neuf avec Jardin a la Marsa,Appartement,Location,,2 500 TND,2500,21.7,TND,Cité Du Stade à La Marsa,La Marsa,Cité Du Stade,36.876389,10.325278,"https://www.google.com/maps?q=36.876389,10.325278","115
						",,2,2,,,Meublé,Bon état,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,20,https://www.mubawab-media.com/ad/7/345/779F/h/photo_0_81267505.avif | https://www.mubawab-media.com/ad/7/345/779F/h/photo_1_81267506.avif | https://www.mubawab-media.com/ad/7/345/779F/h/photo_2_81267507.avif | https://www.mubawab-media.com/ad/7/345/779F/h/photo_3_81267508.avif | https://www.mubawab-media.com/ad/7/345/779F/h/photo_4_81267509.avif | https://www.mubawab-media.com/ad/7/345/779F/h/photo_5_81267510.avif | https://www.mubawab-media.com/ad/7/345/779F/h/photo_6_81267511.avif | https://www.mubawab-media.com/ad/7/345/779F/h/photo_7_81267512.avif | https://www.mubawab-media.com/ad/7/345/779F/h/photo_8_81267513.avif | https://www.mubawab-media.com/ad/7/345/779F/h/photo_9_81267514.avif | https://www.mubawab-media.com/ad/7/345/779F/h/photo_10_81267515.avif | https://www.mubawab-media.com/ad/7/345/779F/h/photo_11_81267516.avif | https://www.mubawab-media.com/ad/7/345/779F/h/photo_12_81267517.avif | https://www.mubawab-media.com/ad/7/345/779F/h/photo_13_81267518.avif | https://www.mubawab-media.com/ad/7/345/779F/h/photo_14_81267519.avif | https://www.mubawab-media.com/ad/7/345/779F/h/photo_15_81267520.avif | https://www.mubawab-media.com/ad/8/303/107F/m/1_81964427.avif | https://www.mubawab-media.com/ad/8/283/993F/m/IMG_0834_81759751.avif | https://www.mubawab-media.com/ad/8/202/536F/m/IMG_8976_81202107.avif | https://www.mubawab-media.com/ad/8/298/445F/m/IMG_1245_81917010.avif,,,,,,,,"Appartement neuf et moderne de 85m2 habitable plus 30m2 de jardin dans une résidence gardée muni d'un système d'alarme. L'appartement se compose d'une suite parentale avec dressing et sans vis a vis Une deuxième salle de douche faisant office de salle d'eau d'invités également. La deuxième chambre dispose d'un grand dressing et sans vis a vis. Un salon ouvert sur le jardin /salle a manger ouvert sur une cuisine a l'américaine avec vue sur le jardin, avec un coin bar entièrement équipée. A 3min du lycée français, en voiture A 5min de Marsa plage Proche de commodités à pied comme la pâtisserie Délice, pizzeria feu de bois, pharmacie, épiciers...",2026-02-20T18:57:32.269166
7368974,,https://www.mubawab.tn/fr/a/7368974/duplex-s3-vue-mer-%C3%A0-sidi-bousaid,Duplex S3 vue mer à Sidi Bousaid,Duplex,,,4 000 TND,4000,20.0,TND,Sidi Bousaid à Carthage,Carthage,Sidi Bousaid,36.871576,10.3343581,"https://www.google.com/maps?q=36.871576,10.3343581","200
						",4,4,2,,,Meublé,Bon état,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,20,https://www.mubawab-media.com/ad/7/368/974F/h/thumb_1010252_property_big_79963136.avif | https://www.mubawab-media.com/ad/7/368/974F/h/thumb_1010262_property_big_79963137.avif | https://www.mubawab-media.com/ad/7/368/974F/h/thumb_1010264_property_big_79963138.avif | https://www.mubawab-media.com/ad/7/368/974F/h/thumb_1010263_property_big_79963139.avif | https://www.mubawab-media.com/ad/7/368/974F/h/thumb_1010258_property_big_79963140.avif | https://www.mubawab-media.com/ad/7/368/974F/h/thumb_1010261_property_big_79963141.avif | https://www.mubawab-media.com/ad/7/368/974F/h/thumb_1010259_property_big_79963142.avif | https://www.mubawab-media.com/ad/7/368/974F/h/thumb_1010260_property_big_79963143.avif | https://www.mubawab-media.com/ad/7/368/974F/h/thumb_1010254_property_big_79963144.avif | https://www.mubawab-media.com/ad/7/368/974F/h/thumb_1010255_property_big_79963145.avif | https://www.mubawab-media.com/ad/7/368/974F/h/WhatsApp%20Image%202025-02-06%20at%2011.08.28%20%281%29_79963146.avif | https://www.mubawab-media.com/ad/7/368/974F/h/thumb_1010256_property_big_79963147.avif | https://www.mubawab-media.com/ad/7/368/974F/h/thumb_1010251_property_big_79963148.avif | https://www.mubawab-media.com/ad/7/368/974F/h/thumb_1010257_property_big_79963149.avif | https://www.mubawab-media.com/ad/7/368/974F/h/thumb_1010253_property_big_79963150.avif | https://www.mubawab-media.com/ad/7/368/974F/h/thumb_1010258_property_big_79963151.avif | https://www.mubawab-media.com/ad/8/281/208F/m/1_81734193.avif | https://www.mubawab-media.com/ad/8/095/830F/m/thumb_1018698_property_large_79806108.avif | https://www.mubawab-media.com/ad/8/220/893F/m/gallery_81079095.avif | https://www.mubawab-media.com/ad/8/286/493F/m/51ce3bb1-fe11-4ac5-8ae8-e8a97abd72df_81785297.avif,,,,,,,,"Luxury House met à la location un duplex S3 meublé possède une belle terrasse vue sue mer, situé dans l'un des plus beau quartier à Sidi Bousaid. Il se compose d'un salon lumineux ouvrant sur la terrasse, une cuisine moderne bien équipée, trois chambres à coucher chacune avec sa propre dressing et deux salles de bain commune. Le duplex est doté par du chauffage central de la climatisation en Split. Référence du bien: Ref869a",2026-02-20T18:57:34.488975
7402316,,https://www.mubawab.tn/fr/a/7402316/appartement-s2-%C3%A0-louer-%C3%A0-ain-zaghouan,Appartement S2 à louer à Ain Zaghouan,Appartement,Location,,1 700 TND,1700,13.1,TND,Ain Zaghouan Nord à La Marsa,La Marsa,Ain Zaghouan Nord,36.876389,10.325278,"https://www.google.com/maps?q=36.876389,10.325278","130
						",3,3,2,,,Non meublé,Bon état,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,9,https://www.mubawab-media.com/ad/7/402/316F/h/thumb_986730_property_xlarge_79548229.avif | https://www.mubawab-media.com/ad/7/402/316F/h/thumb_986731_property_xlarge_79548230.avif | https://www.mubawab-media.com/ad/7/402/316F/h/thumb_986729_property_xlarge_79548231.avif | https://www.mubawab-media.com/ad/7/402/316F/h/thumb_986732_property_xlarge_79548232.avif | https://www.mubawab-media.com/ad/7/402/316F/h/thumb_986728_property_xlarge_79548233.avif | https://www.mubawab-media.com/ad/8/215/123F/m/b2b07643-1936-4a6b-92ad-08b3cbb4c7d7_81017723.avif | https://www.mubawab-media.com/ad/8/226/946F/m/IMG_8748_81143618.avif | https://www.mubawab-media.com/ad/8/195/076F/m/IMG_7593_80814585.avif | https://www.mubawab-media.com/ad/8/202/254F/m/IMG_7851_80884096.avif,,,,,,,,"New Key La Soukra vous propose à la location un appartement S2 vide ou bien meublé au troisième étage d&#39;une résidence R4 agréable bien gardée et proche de toutes commodités à Ain Zaghouan Il se compose d&#39;un salon qui donne sur un grand balcon, une cuisine équipée, une salle d&#39;eau invités, 02 chambres à coucher spacieuses avec dressings et une salle de bain. Une place de parking au sous-sol est à votre disposition. L'appartement est proposé meublé à 2200dt. Référence du bien: Ref3148a",2026-02-20T18:57:36.661193
7414959,HA2166784NEW,https://www.mubawab.tn/fr/a/7414959/duplex-s4-%C3%A0-la-marsa,Duplex S4 à la Marsa,Duplex,,,5 500 TND,5500,22.0,TND,La Marsa à La Marsa,La Marsa,La Marsa,36.8941992,10.2762232,"https://www.google.com/maps?q=36.8941992,10.2762232","250
						",6,3,,,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,12,https://www.mubawab-media.com/ad/7/414/959F/h/thumb_207598_property_xlarge_70647195.avif | https://www.mubawab-media.com/ad/7/414/959F/h/thumb_207600_property_xlarge_70647197.avif | https://www.mubawab-media.com/ad/7/414/959F/h/thumb_207602_property_xlarge_70647200.avif | https://www.mubawab-media.com/ad/7/414/959F/h/thumb_207604_property_xlarge_70647201.avif | https://www.mubawab-media.com/ad/7/414/959F/h/thumb_207606_property_xlarge_70647203.avif | https://www.mubawab-media.com/ad/7/414/959F/h/thumb_207608_property_xlarge_70647204.avif | https://www.mubawab-media.com/ad/7/414/959F/h/thumb_207610_property_xlarge_70647205.avif | https://www.mubawab-media.com/ad/7/414/959F/h/thumb_207612_property_xlarge_70647206.avif | https://www.mubawab-media.com/ad/8/306/795F/m/thumb_1282791_property_large_82001408.avif | https://www.mubawab-media.com/ad/8/306/315F/m/thumb_1281619_property_xlarge_81996540.avif | https://www.mubawab-media.com/ad/8/250/029F/m/66645f22-7b21-4658-bda2-3f70602d253c_81386218.avif | https://www.mubawab-media.com/ad/8/296/986F/m/thumb_1270854_property_large_81898988.avif,,,,,,,,"Newkey la Marsa met à la location un magnifique duplex très haut standing, situé dans une résidence R 3 au cœur de la Marsa, au rez de chaussée l’espace est composé d'un grand salon qui donne sur un petit jardin,un séjour, une cuisine richement équipée et une salle d'eau pour les invités, quant à l'étage on trouve une suite parentale et deux chambres à coucher avec une salle de bain commune. Deux places de parking sont disponibles au sous-sol. Référence du bien: Ref904a",2026-02-20T18:57:38.583255
7439218,,https://www.mubawab.tn/fr/a/7439218/appartement-s1-meubl%C3%A9-aux-jardins-de-carthage,Appartement S1 meublé aux Jardins de Carthage,Appartement,,,1 800 TND,1800,24.0,TND,Les Jardins de Carthage à Le Kram,Le Kram,Les Jardins de Carthage,36.833333,10.316667,"https://www.google.com/maps?q=36.833333,10.316667","75
						",2,1,1,,,Meublé,Bon état,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,14,https://www.mubawab-media.com/ad/7/439/218F/h/thumb_377802_property_xlarge_74170702.avif | https://www.mubawab-media.com/ad/7/439/218F/h/thumb_377810_property_xlarge_74170703.avif | https://www.mubawab-media.com/ad/7/439/218F/h/thumb_377805_property_xlarge_74170704.avif | https://www.mubawab-media.com/ad/7/439/218F/h/thumb_377806_property_xlarge_74170705.avif | https://www.mubawab-media.com/ad/7/439/218F/h/thumb_377808_property_xlarge_74170706.avif | https://www.mubawab-media.com/ad/7/439/218F/h/thumb_377812_property_xlarge_74170707.avif | https://www.mubawab-media.com/ad/7/439/218F/h/thumb_377807_property_xlarge_74170708.avif | https://www.mubawab-media.com/ad/7/439/218F/h/thumb_377811_property_xlarge_74170709.avif | https://www.mubawab-media.com/ad/7/439/218F/h/thumb_377804_property_xlarge_74170710.avif | https://www.mubawab-media.com/ad/7/439/218F/h/thumb_377809_property_xlarge_74170711.avif | https://www.mubawab-media.com/ad/8/153/301F/m/thumb_1104699_property_large_80413101.avif | https://www.mubawab-media.com/ad/8/306/673F/m/2631a7ac-4645-4369-a0a4-012433b1998d_82000120.avif | https://www.mubawab-media.com/ad/8/259/915F/m/IMG_9884_81486584.avif | https://www.mubawab-media.com/ad/8/285/572F/m/cc0241d4-0373-49b1-b98f-018651c401a0%20%281%29_81776235.avif,,,,,,,,"Luxury House met à la location un appartement S1 richement meublé d'une superficie de 75 m², occupant le rez-de-chaussée d'une résidence bien gardée aux Jardins de Carthage. Il se compose d'un salon lumineux ouvrant sur une belle terrasse aménagée de 17 m², une cuisine parfaitement équipée, une chambre à coucher avec dressing et une salle de bain. L'appartement est doté d'un chauffage central, de la climatisation en Split et une place de parking au sous-sol. Référence du bien: Ref958a",2026-02-20T18:57:40.757261
