titre,prix,categorie,sous_categorie,ville,delegation,date_publication,date_scraping,type_transaction,superficie,chambres,salles_bain,description,images_urls,url
Appartement S+3 – 4ᵉ étage | Résidence Omrane 16 – Riadh El Ghazela,398315,immobilier,immobilier-neuf,ariana,ghazela,,2026-02-15 11:39:47,À Louer,137.35,3,2,"Situé au 4ᵉ étage de la Résidence Omrane 16, l’appartement S+3 – Référence F4-2B offre une superficie de 137,35 m², conçue pour garantir confort, fonctionnalité et qualité de vie.

Il se compose d’un salon spacieux et lumineux, d’un hall d’entrée, de trois chambres à coucher, d’une cuisine fonctionnelle, ainsi que de salles de bain et salles d’eau aménagées avec des matériaux de qualité.

Les espaces de vie bénéficient de finitions soignées, avec du marbre Thala dans le salon, le hall et les cha","[""https://www.tayara.tn/mediaGateway/resize-image?img=07/07c36040-6344-41c5-831f-61bf01cc2155&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=6f/6f8200a8-04ab-40c0-98aa-ba832a6eb22b&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=02/020e777b-f28d-456f-a58b-9dcba3cab7e7&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=5c/5ca3a735-20a0-400b-8957-23d35fab381f&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=e2/e21ae582-d9ed-4080-bd83-9917a640694b&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=78/782d5970-29f1-4291-b7cc-e952f8171253&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=62/62f13ed0-6089-4ad3-a978-ad320790e703&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=f2/f2309a74-b369-48b8-897e-f68f45aedddb&w=100""]",https://www.tayara.tn/item/immobilier-neuf/ariana/ghazela/appartement-s3-4-tage-rsidence-omrane-16-riadh-el-ghazela/69752728d921b01419d27d2c/
🏠𝐉𝐚𝐫𝐝𝐢𝐧𝐬 𝐝'𝐞𝐥 𝐌𝐞𝐧𝐳𝐚𝐡 2; à LOUER  Spacieux Appt 𝐒+4 🏠,0,immobilier,appartements,ariana,jardins-el-menzah,,2026-02-15 11:39:48,À Louer,206,4,2,"🏠𝐉𝐚𝐫𝐝𝐢𝐧𝐬 𝐝'𝐞𝐥 𝐌𝐞𝐧𝐳𝐚𝐡 2; 𝐚̀ LOUER  Spacieux Appt 𝐒+4 🏠
                                       🌟    🌟    🌟
Jardins d'el Menzah 2 ; à Louer spacieux appartement (206 m²) dans une résidence bien gardée composé de :
🔸 un salon salle à manger avec balcon 
🔸 4 chambres à coucher dont deux avec dressings et une avec balcon 
🔸 SDB
🔸 SDE
🔸 une spacieuse cuisine équipée avec séchoir
✅ Chauffage central
✅ climatiseurs
✅ 2 places de parking
🗝🗝🗝 𝑪𝒐𝒏𝒕𝒂𝒄𝒕𝒆𝒛 𝑨𝒈𝒆𝒏𝒄𝒆 𝑰𝒎𝒎𝒐𝒃𝒊𝒍𝒊𝒆̀𝒓𝒆 𝑩𝒖𝒊𝒍𝒅𝒊𝒏𝒈 𝑵𝒆́𝒈𝒐𝒄𝒆 : 𝓥𝓸𝓽𝓻𝓮 𝓬𝓸𝓷𝓼𝓮𝓲𝓵𝓵𝓮","[""https://www.tayara.tn/mediaGateway/resize-image?img=21/2161b4b1-0a6b-47c6-af18-d133033d6956&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=a7/a76ba14b-dd03-4e08-87e2-18498ee7334c&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=1a/1ad9fdee-95a2-42f1-b45b-ccda3d851166&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=a8/a8ef2482-a167-458f-b5ed-68e12bc8c924&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=55/55c8c79a-b2d5-489e-8bfc-3a05051d276f&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=95/95ca4531-bbee-41f7-8b1d-d48826cf162b&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=e3/e379f350-3c12-43af-ba3d-1662637ad7c1&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=8e/8eac5b43-c6f9-4c06-8815-cd6543abd63e&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=43/43a40e98-4d8a-45bb-b0c0-1feca8eed680&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=0a/0a7e24ae-ec0d-4bc1-b4b4-935cb7686331&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=43/43b965dd-ec19-4383-9d39-3e1cdb2355ad&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=b4/b4be27f8-a196-4802-8552-9e9cf7a6a387&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=d0/d03d7ad1-5186-4c14-b210-0019431965b1.jpg&w=100""]",https://www.tayara.tn/item/appartements/ariana/jardins-el-menzah/-2-louer-spacieux-appt-4-/697c9a8615471d09ce10c92d/
a louer appartement s +3 a soukra,1100,immobilier,appartements,ariana,la-soukra,,2026-02-15 11:39:48,À Louer,120,3,2,"Agence immobilière KCHAOU met à la location un joli appartement S+3 au 1er etage sans ascenseur d une résidence R+2 a la soukra sur avenue l UMA  composé 
un salon avec balcon 
3 chambres a coucher avec dressings 
Cuisine équipée avec séchoir 
Sdb 
sde 
Chauffage central 
Loyer 1100d + 50d syndic 
pour plus d’informations veuillez nous contacter au","[""https://www.tayara.tn/mediaGateway/resize-image?img=51/517428e3-4639-4347-971b-35fb2aeb0778&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=2b/2ba64b6c-8a75-411c-9fbc-2e0e315a2ebd&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=cd/cdb34d1d-5657-49fb-b811-08fb00b3dd66&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=95/95e776e9-d60b-45cf-8687-cc242dde0e2c&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=88/885ef8e1-2bd0-4653-9420-9984f31a8f07&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=1a/1ad90980-307a-4c43-9369-62bd43b96c8b&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=ab/ab8775e4-181c-4d0b-867e-b54d78b7c170&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=99/99678417-52f2-43ab-bc86-66059966576e&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=94/944f7b24-d638-4975-bf87-407c6c6dbf8c&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=7a/7acf9072-ae57-4cf5-9b26-470eccd5a7a7&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=42/42e72d26-3b40-4263-83df-768e366a98c7&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=92/9243a95e-aa4e-4244-97b6-21d33b1b5ca3&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=d2/d2711937-bd19-43ec-b28f-59ee88e5b1cf&w=100""]",https://www.tayara.tn/item/appartements/ariana/la-soukra/a-louer-appartement-s-3-a-soukra/698b03521a74f8e704a06d46/
À louer – Appartement S+3 à Kantaoui avec vue dégagée 🌅,2700,immobilier,appartements,sousse,kantaoui,,2026-02-15 11:39:49,À Louer,120,2,2,"Découvrez ce spacieux appartement S+3 idéalement situé à Kantaoui, offrant un cadre de vie confortable et une magnifique vue dégagée.
🔹 Caractéristiques :
🛋️ Grand salon lumineux avec accès au balcon
🌅 Balcon avec vue dégagée
🛏️ Trois chambres à coucher, dont une avec dressing
👗 Dressing intégré
🍽️ Cuisine fonctionnelle
🛁 Deux Salles de bain
🔥 Chauffage central
❄️ Climatiseurs pour un confort optimal
🚗 Une place de parking au sous sol 
📍 Situé dans un quartier recherché, proche des commodités, d","[""https://www.tayara.tn/mediaGateway/resize-image?img=07/07f17fde-8983-4901-923d-4b10f7feb61e&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=c8/c8942101-ab88-4fb9-9490-242cd5cd8f99&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=ef/efb13ac8-cf3b-41fb-ae2f-0f165b00db72&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=df/df936279-1e48-463f-bebb-fa14308dcdb9&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=6d/6d543a3f-9491-494d-9b4a-3f0f5a934991&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=f5/f5f8e34a-b1c3-43eb-8d5b-0c08f9e53dd2&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=6e/6e59089d-81ca-45ee-bdce-df21c1b42534&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=01/0118ec26-d934-4e31-8700-daffa28ac002&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=33/33cc19e2-3b61-4598-afcf-7d8828305955&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=f0/f0f0a8f3-3d68-42b8-9bfb-fa0ad939be9d&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=17/17a5346d-7cfc-4152-b00c-843508e633d7&w=100""]",https://www.tayara.tn/item/appartements/sousse/kantaoui/-louer-appartement-s3-kantaoui-avec-vue-dgage-/698ee5066cd42e2d7b6cc991/
Appartement meublé Les Jardins de Carthage,2400,immobilier,appartements,tunis,jardins-de-carthage,,2026-02-15 11:39:50,À Louer,80,1,2,"🏡 À LOUER – Appartement S+2 Meublé
📍 Jardins de Carthage

Découvrez ce appartement moderne, entièrement meublé, situé dans l’un des quartiers les plus prisés de Tunis. Il offre un cadre de vie confortable, sécurisé et de haut standing.

✨ Caractéristiques :

Type : Appartement S+2 meublé

Salon spacieux et lumineux

Cuisine moderne entièrement équipée

Deux chambres confortables

Résidence sécurisée

Place de parking disponible

📞 Informations & visites (personnes sérieuses uniquement)   Keskes ","[""https://www.tayara.tn/mediaGateway/resize-image?img=60/605a7e74-fd9f-4bbf-a628-843195515126&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=a2/a27179cd-f5ba-4420-acc9-189d7afaf07c&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=0a/0ae69926-65c6-4dec-9478-d15c4396610f&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=59/594db891-96e5-431d-9614-02246a2b0c78&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=43/43e27991-5579-4b11-af8b-906e03577410&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=79/796c2249-9847-4562-a108-73721e93ab56&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=bd/bdfdcd42-534d-4cfd-a8d2-284b8c002b1a&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=76/76699d8c-edf2-4ef8-a822-c86635c53d4e&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=34/34ce1d66-58fc-46c6-ae97-89b8eba3a9f4&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=38/3804c692-7a7c-4ce7-b20e-c92763dd9c96&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=9c/9ced4c26-9af7-40cc-a26c-d6cff72abdb5&w=100""]",https://www.tayara.tn/item/appartements/tunis/jardins-de-carthage/appartement-meubl-les-jardins-de-carthage/692422a6145e1617cbab8b22/
Location à l’année a hammamet nord un appartement s+1,900,immobilier,appartements,nabeul,hammamet-nord,,2026-02-15 11:39:51,À Louer,90,1,1,"Location à l’année a hammamet nord un appartement s+1 au 1er étage avec place de parking au sous sol 
Prix : 900dt 
Num :","[""https://www.tayara.tn/mediaGateway/resize-image?img=99/999c71df-a68c-4f03-81be-7b3d3c1bc41f&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=5d/5d275bd1-8036-4a72-ad16-038c7159c2f1&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=72/72464dec-5112-4556-8fba-85f15a11c3d1&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=e4/e49f8580-546a-40ca-afc4-2571bfff0bf2&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=80/80d23b11-9dbe-4aa5-8a7c-13e473301969&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=77/779a479e-1a64-4345-a36d-fdc346785ab5&w=100""]",https://www.tayara.tn/item/appartements/nabeul/hammamet-nord/location-lanne-a-hammamet-nord-un-appartement-s1/697dedec15471d09ce116e88/
📍 Riadh El Andalous à louer spacieux appt S+4,1,immobilier,appartements,ariana,riadh-andalous,,2026-02-15 11:39:52,À Louer,160,4,2,"🏠 𝐑𝐢𝐚𝐝𝐡 𝐄𝐥 𝐀𝐧𝐝𝐚𝐥𝐨𝐮𝐬 ; à Louer joli 𝐚𝐩𝐩𝐭 S+4 🏠

                                  🌟     🌟   🌟
Riadh El Andalous à louer un spacieux  appartement dans une résidence bien gardée ; composé de :
🔸 Salon Salle à manger 
🔸 3 chambres à coucher 
📍 Un séjour 
🔸 Cuisine équipée avec séchoir
🔸 Salle de bain
🔸 salle d'eau
      ✅ chauffage central
      ✅climatisation
      ✅ place de parking 
🗝🗝🗝 𝐂𝐨𝐧𝐭𝐚𝐜𝐭𝐞z 𝐀𝐠𝐞𝐧𝐜𝐞 𝐈𝐦𝐦𝐨𝐛𝐢𝐥𝐢𝐞̀𝐫𝐞 𝐁𝐮𝐢𝐥𝐝𝐢𝐧𝐠 𝐍𝐞́𝐠𝐨𝐜𝐞 :
𝐕𝐨𝐭𝐫𝐞 𝐜𝐨𝐧𝐬𝐞𝐢𝐥l𝐞̀𝐫𝐞 𝐞𝐧 𝐈𝐦𝐦𝐨𝐛𝐢𝐥𝐢𝐞𝐫 𝐌𝐦𝐞 Sophie :
 ☎ :","[""https://www.tayara.tn/mediaGateway/resize-image?img=12/12410b2a-7d5f-4823-abc8-bf1120046ff6&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=a4/a4a6bfd0-084c-488d-aeaf-ab52af39c8f4&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=55/5585375b-1b51-4645-90a4-270a6ae4133a&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=40/40ffa6fd-362b-44f2-834a-cc9aa726d1c6&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=bc/bcf6b69d-7ba4-41ec-a85b-86bc4bd3d11e&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=fc/fc6dfb7d-6420-49bb-81af-40aba1b72dd7&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=80/80a1994c-88eb-4fc4-8baf-ec5a6aec546e&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=32/32635756-6626-44e0-ab47-16b9256ec5d1&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=f5/f570f808-7b19-4c9f-b880-ca6ce116d023&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=8a/8aab14b1-f3bd-45da-991c-91c76c766927&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=5f/5f3d895c-6fd8-466a-aa37-47dfbfcb225b&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=81/81ecd2f9-02a5-4c48-b48d-706413777d7c&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=d0/d03d7ad1-5186-4c14-b210-0019431965b1.jpg&w=100""]",https://www.tayara.tn/item/appartements/ariana/riadh-andalous/-riadh-el-andalous-louer-spacieux-appt-s4/698b51c71a74f8e704a0a1d2/
A Louer S+1 Meublé aux Jardins de Carthage,1800,immobilier,appartements,tunis,tunis,,2026-02-15 11:39:52,À Louer,90,1,1,"L’agence immobilière Good Life met à votre disposition à la location un appartement S+1 meublé, doté d’un jardin privatif et d’une terrasse, situé aux Jardins de Carthage.

Il se compose de :

- Un salon lumineux ouvrant sur le jardin

- Une salle de douche

- Une cuisine moderne et bien équipée avec accès à la terrasse

- Une chambre à coucher avec dressings 

Équipements :

* Climatisation split

* Chauffage central

Annexes :

* Une place de parking en sous-sol

* Un cellier

Pour une visite ","[""https://www.tayara.tn/mediaGateway/resize-image?img=2b/2babf86a-121d-4f3f-a66d-1671e591acb8&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=85/8581fc9c-0667-4b3e-8563-b6d9fb594477&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=8d/8d1c59cb-0cd7-44bb-9bb6-d9892de11e1d&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=19/1968e4cc-1338-4cb2-88f3-85e711f36d29&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=ec/ecd07af7-0ab0-42fa-9241-4cbfb312d5e1&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=f6/f6abaa06-abfc-4df3-8f94-baae0e1c3d0e&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=77/7705e352-f24d-4c84-817d-1f28d14309f2&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=77/77d8be3b-c822-4a5d-9891-e7cb7335a985&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=9e/9e76fbd8-ed70-4cc8-8a63-f242b7251989&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=7e/7e02b3b9-ffa3-4538-bc40-33e658b266e1&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=d0/d0e0602c-c934-45d5-930c-0a54e8a59715.png&w=100""]",https://www.tayara.tn/item/appartements/tunis/tunis/a-louer-s1-meubl-aux-jardins-de-carthage/696e4eeb18135599092401f9/
Appartement  Tres Haut standing,1550,immobilier,appartements,nabeul,hammamet-nord,,2026-02-15 11:39:53,À Louer,80,1,1,"Pour  etrangers,  Je mets à la location  1550 dt par mois y compris frais de syndic , un excellent S+1 THS, 2ème étage avec vue partielle de mer, dans une nouvelle résidence calme, derrière Hôtel Nahrawas- Hammamet Nord, richement meublé ,02ascenceurs, place de parking au sous sol .","[""https://www.tayara.tn/mediaGateway/resize-image?img=c3/c3b7a1c3-845b-4b52-93fe-3466264c9caa.jpeg&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=df/dfc164c9-56b5-47af-b892-9ba6011aee27.jpeg&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=11/115e4a4c-d928-46b8-9523-1f32c08cefda.jpeg&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=c2/c2c38273-61c6-442e-9332-e08797f9c57a.jpeg&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=b5/b5327a2e-53ac-4289-b93a-ca97f9623653.jpeg&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=47/47662dfb-6705-47a9-b8b3-7b77ee11de52.jpeg&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=e2/e24a1ad0-0c64-4937-aaf8-3d85a4c6d795.jpeg&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=63/6347014b-2e59-4e89-938a-c468b1688917.jpeg&w=1000""]",https://www.tayara.tn/item/appartements/nabeul/hammamet-nord/appartement-tres-haut-standing/695a62a0cd04d08be755aee7/
À louer S+2 – Lac 1 ( Rue Lac Malareine) – 1er étage,1650,immobilier,appartements,tunis,lac-1,,2026-02-15 11:39:54,À Louer,,2,1,"🏠 À LOUER – Appartement S+2 – Lac 1

📍 Rue Lac Malareine – 1er étage
✨ Bel appartement S+2 lumineux comprenant :
✔️ Salon spacieux
✔️ 2 chambres
✔️ Cuisine
✔️ Salle de bain
✔️ Balcon
✔️ Séchoir

💰 Loyer : 1 650 DT / mois

📞 PRESTIGE IMMODAB  /  🎥 Plus de détails & vidéo sur demande.","[""https://www.tayara.tn/mediaGateway/resize-image?img=f7/f7b8937e-d783-435c-89d6-241f4b2b5cc9&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=71/71e95486-aec6-492c-bb66-05e6d2c9a32d&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=a7/a7838c4f-85dc-4d0f-b877-acf6b2a440bd&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=f0/f07f9c5c-9079-4229-96ef-10416ae15484&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=3e/3e852d43-6090-40fa-99d6-7fb285e94d13&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=b9/b99c3e89-c552-4a2c-b9c2-eaae428ca72e&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=e7/e7ef3c99-d1b2-4cbc-9a0c-ad21cd80cff1&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=07/07de1e2d-ab4a-4952-89cc-f6c5cc199fbc&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=72/7277b78d-f8cd-4fcc-a0ce-2fdb44d7943c&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=5d/5d394a4d-6643-42ce-b5d1-d4cd5bbdf5fd&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=44/44f718d8-2d7a-40f8-8c9d-734895d099b0&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=96/96ee6c7e-d5f9-4c18-9c1c-4cd064824d34&w=1000"", ""https://www.tayara.tn/mediaGateway/resize-image?img=f6/f6db75f9-6a79-4487-a73f-d783e8c8dac4&w=100""]",https://www.tayara.tn/item/appartements/tunis/lac-1/-louer-s2-lac-1-rue-lac-malareine-1er-tage/6989f2e21a74f8e704a0002f/
