region,nature,type,texte,prix,date_modification,url,page,scraped_at
El Menzah 1,Location,App. 4 pièc,S3 bon emplacement menza,1 000,22/01/2026,AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10108&rech_cod_loc=1010809,1,2026-01-22 21:18:39
Cite Ennasr 2,Location,App. 2 pièc,Un coquet s plus 1 derri,1 100,22/01/2026,AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10201&rech_cod_loc=1020115,1,2026-01-22 21:18:39
La Soukra,Location,App. 3 pièc,Appt h  standing s plus  2,1 400,22/01/2026,AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10204&rech_cod_loc=1020448,1,2026-01-22 21:18:39
Cite Rades 2,Location,App. 4 pièc,Pour société,1 200,22/01/2026,AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10312&rech_cod_loc=1031207,1,2026-01-22 21:18:39
El Menzah 8,Location,App. 4 pièc,Menzah  rdc de villa semi meu,780,22/01/2026,AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10201&rech_cod_loc=1020126,1,2026-01-22 21:18:39
Bab Alioua,Vente,App. 3 pièc,Apartment rue carthage,322 000,22/01/2026,AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10120&rech_cod_loc=1012002,1,2026-01-22 21:18:39
Hammamet,Location,Maisons,Villa avec piscine hamma,500,22/01/2026,AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=11709&rech_cod_loc=1170940,1,2026-01-22 21:18:39
Hammamet,Location vacance,Maisons,Villa avec piscine hamma,800,22/01/2026,AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=11709&rech_cod_loc=1170940,1,2026-01-22 21:18:39
Hammamet,Location vacance,Maisons,Villa avec piscine hamma,700,22/01/2026,AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=11709&rech_cod_loc=1170940,1,2026-01-22 21:18:39
Zone urbaine no,Bureaux & Commer,Bureau,Bureau h1 1200d centre u,1 200,22/01/2026,AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10104&rech_cod_loc=1010409,1,2026-01-22 21:18:39
Ariana Essoughr,Location,App. 4 pièc,S3 rdc meuble ariana sou,1 800,22/01/2026,AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10206&rech_cod_loc=1020601,1,2026-01-22 21:18:39
Cite Ennasr 2,Location,App. 2 pièc,S1 ennasr 2 1150 dinars,1 150,22/01/2026,AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10201&rech_cod_loc=1020115,1,2026-01-22 21:18:39
El Menzah 7,Vente,App. 2 pièc,S1 au rdc 175 md a menza,175 000,22/01/2026,AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10201&rech_cod_loc=1020125,1,2026-01-22 21:18:39
El Menzah 7,Vente,App. 4 pièc,S3 395  md menzah 7bis,395 000,22/01/2026,AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10201&rech_cod_loc=1020125,1,2026-01-22 21:18:39
La Soukra,Vente,App. 3 pièc,S3 la  soukra 410 md,410 000,22/01/2026,AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10204&rech_cod_loc=1020448,1,2026-01-22 21:18:39
Denden,Location,App. 2 pièc,Rdc de villa à denden,430,22/01/2026,AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=11405&rech_cod_loc=1140501,1,2026-01-22 21:18:39
Habib Thameur,Bureaux & Commer,Bureau,Bureau accueil et 3,1 250,22/01/2026,AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10101&rech_cod_loc=1010103,1,2026-01-22 21:18:39
Le Bardo,Location,App. 2 pièc,S1 à bardo cité skik,450,22/01/2026,AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10119&rech_cod_loc=1011909,1,2026-01-22 21:18:39
Khaznadar,Location,App. 2 pièc,S1 à khaznadar,300,22/01/2026,AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10119&rech_cod_loc=1011907,1,2026-01-22 21:18:39
Rades Plage,Vente,Maisons,Trois villas,600 000,22/01/2026,AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10312&rech_cod_loc=1031222,1,2026-01-22 21:18:39
Boucha,Terrain,Terrain agr,873 zitounas,270 000,22/01/2026,AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=12401&rech_cod_loc=1240104,1,2026-01-22 21:18:39
Sidi Ali El Hat,Terrain,Terrain nu,Terrain de foot,280 000,22/01/2026,AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=11406&rech_cod_loc=1140612,1,2026-01-22 21:18:39
Le Bardo,Location,App. 3 pièc,S2 à 20 mars bardo,700,22/01/2026,AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10119&rech_cod_loc=1011909,1,2026-01-22 21:18:39
Caid Mhamed,Location,Surfaces,Villa spacieuse kaid mha,2 500,22/01/2026,AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=11815&rech_cod_loc=1181510,1,2026-01-22 21:18:39
Le Bardo,Location,App. 3 pièc,S2 meublé à saidia bardo,600,22/01/2026,AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10119&rech_cod_loc=1011909,2,2026-01-22 21:18:42
Borj Touil,Terrain,Terrain nu,Maisons borj touil,350 000,22/01/2026,AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10206&rech_cod_loc=1020602,2,2026-01-22 21:18:42
